date,open,close,high,low,volume,code
2017-04-25,5.199,5.23,5.288,5.199,19350.0,002770
2017-04-26,5.241,5.256,5.309,5.214,20264.0,002770
2017-04-27,5.261,5.293,5.298,5.183,30490.0,002770
2017-04-28,5.298,5.335,5.335,5.241,17277.0,002770
2017-05-02,5.34,5.34,5.408,5.335,21767.0,002770
2017-05-03,5.34,5.371,5.392,5.298,15381.0,002770
2017-05-04,5.356,5.371,5.403,5.314,19351.0,002770
2017-05-05,5.361,5.366,5.392,5.319,23746.0,002770
2017-05-08,5.329,5.371,5.392,5.282,27301.0,002770
2017-05-09,5.528,5.585,5.627,5.491,133651.0,002770
2017-05-10,5.491,5.465,5.559,5.319,88107.0,002770
2017-05-11,5.371,5.293,5.371,5.094,88939.0,002770
2017-05-12,5.23,5.298,5.309,5.209,34158.0,002770
2017-05-15,5.267,5.256,5.303,5.251,18462.0,002770
2017-05-16,5.261,5.293,5.298,5.147,38962.0,002770
2017-05-17,5.288,5.319,5.361,5.277,35237.0,002770
2017-05-18,5.303,5.251,5.335,5.241,31525.0,002770
2017-05-19,5.261,5.256,5.288,5.204,20152.0,002770
2017-05-22,5.261,5.131,5.272,5.115,23817.0,002770
2017-05-23,5.131,4.838,5.141,4.817,41680.0,002770
2017-05-24,4.833,4.943,4.985,4.76,34192.0,002770
2017-05-25,4.911,5.042,5.079,4.891,35375.0,002770
2017-05-26,5.084,5.141,5.147,5.073,27958.0,002770
2017-05-31,5.183,5.162,5.199,5.131,18826.0,002770
2017-06-01,5.1,4.922,5.141,4.917,20367.0,002770
2017-06-02,4.917,5.047,5.084,4.891,33737.0,002770
2017-06-05,5.063,5.147,5.188,5.047,28346.0,002770
2017-06-06,5.089,5.162,5.199,5.089,19013.0,002770
2017-06-07,5.173,5.288,5.288,5.136,39738.0,002770
2017-06-08,5.34,5.303,5.423,5.282,54060.0,002770
2017-06-09,5.309,5.314,5.319,5.251,24068.0,002770
2017-06-12,5.267,5.194,5.277,5.183,26063.0,002770
2017-06-13,5.209,5.335,5.356,5.183,32028.0,002770
2017-06-14,5.329,5.256,5.335,5.22,38979.0,002770
