date,open,close,high,low
2017-06-01,5.1,4.922,5.141,4.917
2017-06-02,4.917,5.047,5.084,4.891
2017-06-05,5.063,5.147,5.188,5.047
2017-06-06,5.089,5.162,5.199,5.089
2017-06-07,5.173,5.288,5.288,5.136
2017-06-08,5.34,5.303,5.423,5.282
2017-06-09,5.309,5.314,5.319,5.251
2017-06-12,5.267,5.194,5.277,5.183
2017-06-13,5.209,5.335,5.356,5.183
2017-06-14,5.329,5.256,5.335,5.22
2017-06-15,5.246,5.306,5.395,5.246
2017-06-16,5.345,5.355,5.495,5.325
2017-06-19,5.315,5.315,5.365,5.256
2017-06-20,5.325,5.315,5.365,5.276
2017-06-21,5.315,5.226,5.335,5.186
2017-06-22,5.216,5.106,5.236,5.106
2017-06-23,5.087,5.186,5.236,5.057
2017-06-26,5.186,5.345,5.445,5.146
2017-06-27,5.325,5.355,5.405,5.256
2017-06-28,5.306,5.296,5.385,5.246
2017-06-29,5.345,5.246,5.345,5.226
2017-06-30,5.246,5.206,5.246,5.136
2017-07-03,5.206,5.315,5.345,5.176
2017-07-04,5.315,5.365,5.445,5.315
2017-07-05,5.365,5.405,5.425,5.325
2017-07-06,5.375,5.375,5.445,5.345
2017-07-07,5.385,5.395,5.445,5.355
2017-07-10,5.395,5.365,5.415,5.286
2017-07-11,5.415,5.286,5.415,5.276
2017-07-12,5.355,5.296,5.355,5.226
2017-07-13,5.286,5.296,5.296,5.246
2017-07-14,5.276,5.256,5.296,5.236
2017-07-17,5.226,4.997,5.246,4.977
2017-07-18,5.007,5.017,5.067,4.967
2017-07-19,5.007,5.037,5.077,4.967
2017-07-20,5.017,5.047,5.087,4.997
2017-07-21,5.027,4.977,5.057,4.977
2017-07-24,4.967,4.937,4.967,4.878
2017-07-25,4.927,4.977,4.977,4.887
2017-07-26,4.977,4.987,4.997,4.937
2017-07-27,4.977,5.017,5.047,4.927
2017-07-28,5.017,5.047,5.096,4.997
2017-07-31,5.027,5.027,5.047,4.987
2017-08-01,5.017,5.007,5.037,4.997
2017-08-02,5.007,4.967,5.027,4.967
2017-08-03,4.967,4.977,4.997,4.917
2017-08-04,4.957,4.957,4.997,4.937
2017-08-07,4.987,4.967,4.987,4.947
2017-08-08,4.977,4.957,4.987,4.927
2017-08-09,4.957,5.455,5.455,4.937
2017-08-10,5.525,5.306,5.525,5.296
2017-08-11,5.236,5.325,5.425,5.166
2017-08-14,5.276,5.355,5.455,5.206
2017-08-15,5.335,5.335,5.395,5.276
2017-08-16,5.306,5.335,5.355,5.276
2017-08-17,5.335,5.325,5.365,5.306
2017-08-18,5.325,5.246,5.325,5.236
2017-08-21,5.246,5.286,5.286,5.216
2017-08-22,5.276,5.226,5.276,5.206
2017-08-23,5.226,5.216,5.246,5.196
2017-08-24,5.216,5.226,5.236,5.136
2017-08-25,5.206,5.315,5.325,5.206
2017-08-28,5.315,5.395,5.425,5.286
2017-08-29,5.395,5.355,5.415,5.315
2017-08-30,5.365,5.385,5.475,5.325
2017-08-31,5.385,5.455,5.455,5.355
2017-09-01,5.455,5.475,5.475,5.395
2017-09-04,5.475,5.485,5.495,5.415
2017-09-05,5.475,5.495,5.495,5.395
2017-09-06,5.544,5.624,5.654,5.525
2017-09-07,5.584,5.634,5.704,5.544
2017-09-08,5.714,5.664,5.753,5.574
2017-09-11,5.773,5.704,5.773,5.644
2017-09-12,5.734,5.644,5.753,5.534
2017-09-13,5.644,5.654,5.734,5.495
2017-09-14,5.704,5.664,5.833,5.594
2017-09-15,5.664,5.614,5.664,5.544
2017-09-18,5.594,5.624,5.654,5.495
2017-09-19,5.634,5.654,5.773,5.564
2017-09-20,5.644,5.664,5.674,5.574
2017-09-21,5.654,5.574,5.763,5.574
2017-09-22,5.554,5.544,5.564,5.485
2017-09-25,5.534,5.405,5.554,5.405
2017-09-26,5.395,5.405,5.425,5.365
2017-09-27,5.415,5.445,5.485,5.405
2017-09-28,5.445,5.495,5.544,5.435
2017-09-29,5.495,5.624,5.644,5.495
2017-10-09,5.634,5.674,5.763,5.634
2017-10-10,5.724,5.684,5.724,5.664
2017-10-11,5.684,5.724,5.823,5.594
2017-10-12,5.674,5.644,5.714,5.634
2017-10-13,5.644,5.674,5.704,5.614
2017-10-16,5.684,5.544,5.694,5.544
2017-10-17,5.544,5.564,5.644,5.525
2017-10-18,5.564,5.644,5.753,5.554
2017-10-19,5.624,5.584,5.644,5.554
2017-10-20,5.594,5.674,5.694,5.574
2017-10-23,5.674,5.694,5.744,5.644
